time_s,power_watts
0,1.589
0.5,1.593
1.0,1.593
1.5,1.586
2.0,1.586
2.5,1.587
3.0,1.587
3.5,1.581
4.0,1.581
4.5,1.571
5.0,1.571
5.5,1.572
6.0,1.572
6.5,1.572
7.0,1.572
7.5,1.571
8.0,1.571
8.5,1.575
9.0,1.575
9.5,1.545
10.0,1.545
10.5,1.558
11.0,1.558
11.5,1.569
12.0,1.569
12.5,1.576
13.0,1.576
13.5,1.592
14.0,1.592
14.5,1.584
15.0,5.395
15.5,14.993
16.0,24.476
16.5,20.038
17.0,17.89
17.5,18.003
18.0,17.991
18.5,17.991
19.0,17.896
19.5,17.896
20.0,17.896
20.5,17.896
21.0,17.89
21.5,17.89
22.0,4.236
22.5,4.236
23.0,2.936
23.5,2.936
24.0,1.622
24.5,1.622
25.0,1.597
25.5,1.597
26.0,1.59
26.5,1.59
27.0,1.832
27.5,3.061
28.0,9.73
28.5,15.509
29.0,18.237
29.5,16.856
30.0,14.569
30.5,14.569
31.0,5.44
31.5,5.44
32.0,3.854
32.5,3.854
33.0,1.942
33.5,1.942
34.0,1.601
34.5,1.601
35.0,1.573
35.5,1.573
36.0,1.574
36.5,1.574
37.0,1.576
37.5,1.576
38.0,1.566
38.5,1.566
39.0,1.561
39.5,1.799
40.0,3.457
40.5,7.984
41.0,14.561
41.5,12.337
42.0,12.383
42.5,11.191
43.0,12.49
43.5,12.431
44.0,12.423
44.5,12.449
45.0,12.94
45.5,12.861
46.0,14.107
46.5,14.619
47.0,13.457
47.5,12.289
48.0,11.626
48.5,13.957
49.0,13.818
49.5,13.818
50.0,5.754
50.5,5.754
51.0,1.666
51.5,1.666
52.0,1.631
52.5,1.631
53.0,1.611
53.5,1.611
54.0,1.591
54.5,1.591
55.0,1.593
55.5,1.593
56.0,1.598
56.5,1.598
57.0,1.598
57.5,1.598
58.0,1.988
58.5,3.449
59.0,10.769
59.5,14.809
60.0,16.487
60.5,16.414
61.0,14.871
61.5,14.563
62.0,14.563
62.5,11.666
63.0,11.666
63.5,7.291
64.0,7.291
64.5,2.259
65.0,2.259
65.5,1.6
66.0,1.6
66.5,1.596
67.0,1.596
67.5,1.595
68.0,1.595
68.5,1.598
69.0,1.598
69.5,1.606
70.0,1.606
70.5,1.874
71.0,3.105
71.5,9.588
72.0,14.301
72.5,16.916
73.0,16.888
73.5,15.466
74.0,14.3
74.5,14.3
75.0,5.767
75.5,5.767
76.0,3.967
76.5,3.967
77.0,1.91
77.5,1.91
78.0,1.629
78.5,1.629
79.0,1.603
79.5,1.603
80.0,1.599
80.5,1.599
81.0,1.596
81.5,1.596
82.0,1.597
82.5,1.597
83.0,1.756
83.5,5.645
84.0,19.242
84.5,24.944
85.0,24.253
85.5,19.824
86.0,16.818
86.5,16.818
87.0,8.883
87.5,8.883
88.0,6.904
88.5,6.904
89.0,3.445
89.5,3.445
90.0,1.798
90.5,1.798
91.0,1.618
91.5,1.618
92.0,1.606
92.5,1.606
93.0,1.598
93.5,1.598
94.0,1.596
94.5,1.596
95.0,1.611
95.5,3.337
96.0,13.751
96.5,24.622
97.0,25.203
97.5,21.348
98.0,17.353
98.5,17.353
99.0,9.943
99.5,9.943
100.0,7.24
100.5,7.24
101.0,3.285
101.5,3.285
102.0,1.843
102.5,1.843
103.0,1.625
103.5,1.625
104.0,1.601
104.5,1.601
105.0,1.608
105.5,1.608
106.0,1.614
106.5,1.614
107.0,1.613
107.5,2.194
108.0,5.552
108.5,11.654
109.0,15.813
109.5,16.455
110.0,15.208
110.5,14.168
111.0,14.168
111.5,7.318
112.0,7.318
112.5,4.881
113.0,4.881
113.5,2.046
114.0,2.046
114.5,1.633
115.0,1.633
115.5,1.615
116.0,1.615
116.5,1.61
117.0,1.61
117.5,1.608
118.0,1.608
118.5,1.608
119.0,1.608
119.5,1.608
120.0,2.386
120.5,12.846
121.0,22.431
121.5,23.714
122.0,20.138
122.5,17.238
123.0,17.238
123.5,8.923
124.0,8.923
124.5,4.795
125.0,4.795
125.5,3.36
126.0,3.36
126.5,1.652
127.0,1.652
127.5,1.633
128.0,1.633
128.5,1.614
129.0,1.614
129.5,1.611
130.0,1.611
130.5,1.608
131.0,1.608
131.5,1.648
132.0,2.396
132.5,6.431
133.0,12.605
133.5,16.094
134.0,15.143
134.5,14.238
135.0,14.238
135.5,12.285
136.0,12.285
136.5,7.773
137.0,7.773
137.5,2.436
138.0,2.436
138.5,1.611
139.0,1.611
139.5,1.606
140.0,1.606
140.5,1.614
141.0,1.614
141.5,1.617
142.0,1.617
142.5,1.612
143.0,1.612
143.5,1.626
144.0,1.687
144.5,1.806
145.0,1.796
145.5,1.796
146.0,1.616
